unnamed0,unnamed1,unnamed2,unnamed3,unnamed4,unnamed5,unnamed6,unnamed7,MPU6050 is online...x-axis self test: acceleration trim within,y-axis self test: acceleration trim within,z-axis self test: acceleration trim within,x-axis self test: gyration trim within,y-axis self test: gyration trim within,z-axis self test: gyration trim within
7.35,-0.01,0,1,1.27,0.65,0,24.08,,,,,,
7.13,-0.01,0.01,1,1.27,0.76,0.31,24.1,,,,,,
7.27,-0.01,0,1,1.27,0.84,-0.01,24.1,,,,,,
7.26,-0.01,0,1,1.27,0.57,0.2,24.08,,,,,,
7.21,-0.01,0,1,1.27,0.82,-0.02,24.11,,,,,,
7.14,-0.01,0,1,1.28,0.66,0.28,24.1,,,,,,
6.91,-0.01,0,1,1.28,0.76,-0.03,24.09,,,,,,
7.03,-0.01,0,1,1.29,0.71,0.3,24.08,,,,,,
7.55,-0.01,0,1,1.28,0.61,-0.02,24.08,,,,,,
7.45,-0.01,0,1,1.29,0.85,0.22,24.09,,,,,,
7.11,-0.01,0,1,1.29,0.58,0.02,24.09,,,,,,
6.99,-0.02,0.01,1,1.29,0.81,0.24,24.09,,,,,,
6.79,-0.02,0,1,1.29,0.89,-0.07,24.05,,,,,,
6.62,-0.01,0,1,1.3,0.7,0.2,24.08,,,,,,
6.86,-0.01,0,1,1.29,0.94,-0.02,24.08,,,,,,
6.68,-0.01,0,1,1.3,0.62,0.08,24.08,,,,,,
6.82,-0.01,0,1,1.3,0.94,0.05,24.1,,,,,,
6.66,-0.01,0,1,1.29,0.61,0,24.07,,,,,,
7.15,-0.02,0,1,1.3,0.95,-0.05,24.08,,,,,,
7.43,-0.02,0,1,1.31,0.81,0.26,24.07,,,,,,
7.32,-0.01,0,1,1.3,0.67,-0.04,24.09,,,,,,
7.06,-0.01,0,1,1.3,0.86,0.24,24.09,,,,,,
7,-0.01,0,1,1.3,0.58,0.05,24.08,,,,,,
7.04,-0.01,0,1,1.3,0.9,0.04,24.1,,,,,,
6.83,-0.01,0,1,1.3,0.57,0.02,24.08,,,,,,
6.71,-0.01,0,1,1.3,0.87,0.16,24.09,,,,,,
6.75,-0.01,0,1,1.3,0.55,0.05,24.09,,,,,,
6.63,-0.01,0,1,1.3,0.87,0.11,24.1,,,,,,
6.69,-0.01,0,1,1.3,0.65,-0.12,24.09,,,,,,
7.2,-0.01,0,1,1.3,0.72,0.2,24.08,,,,,,
7.57,-0.01,0,1,1.3,0.87,-0.09,24.11,,,,,,
7.24,-0.01,0,1,1.31,0.62,0.13,24.08,,,,,,
7.16,-0.01,0,1,1.3,0.94,0.1,24.09,,,,,,
6.87,-0.01,0,1,1.3,0.62,0.09,24.09,,,,,,
6.99,-0.01,0,1,1.3,0.89,0.29,24.09,,,,,,
6.75,-0.02,0,1,1.29,0.99,-0.01,24.09,,,,,,
6.86,-0.02,0,0.99,1.3,1.15,-0.3,24.09,,,,,,
6.9,-0.01,0,1,1.31,0.84,-0.08,24.1,,,,,,
